scenario,profile,loss_pct,domain,status,measurement_status,profile,baseline_rtt_ms,baseline_ttfb_ms,pass_ttfb_ms,hybrid_ttfb_ms,fail_ttfb_ms,selected_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,hybrid_loss_threshold_pct,cbom_migration_risk,cbom_migration_reason,error
model-pass,pass,0.1,google.com,pass,pass,pass,1.17,11.17,10.6,17.39,25.5,10.6,10.6,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,kfc.co.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno 111] Connection refused
model-pass,pass,0.1,mcdonaldsindia.com,fail,pass,pass,241.41,521.1,494.4,1044.74,1238.87,494.4,494.4,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pizzahut.co.in,pass,pass,pass,15.12,40.58,38.5,76.68,95.25,38.5,38.5,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,dominos.co.in,pass,pass,pass,15.23,40.81,38.72,77.14,95.8,38.72,38.72,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cocacolaindia.com,fail,pass,pass,192.55,417.12,395.75,835.31,991.17,395.75,395.75,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pepsicoindia.co.in,fail,pass,pass,141.98,309.51,293.65,618.56,734.8,293.65,293.65,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mtrfoods.com,fail,pass,pass,269.88,581.68,551.88,1166.77,1383.21,551.88,551.88,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,haldirams.com,fail,pass,pass,248.12,535.38,507.95,1073.5,1272.89,507.95,507.95,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,parleproducts.com,pass,pass,pass,16.72,43.95,41.7,83.48,103.25,41.7,41.7,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,britannia.co.in,fail,pass,pass,240.29,518.72,492.14,1039.94,1233.2,492.14,492.14,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,amul.com,pass,pass,pass,36.78,86.24,81.82,168.73,203.55,81.82,81.82,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nestle.in,pass,pass,pass,31.62,75.36,71.5,146.8,177.75,71.5,71.5,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,itcportal.com,fail,pass,pass,237.21,512.16,485.92,1026.74,1217.58,485.92,485.92,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
